,Type,WCount,continuousPixelColumnWise,continuousPixelRowWise
137,BIKE,29652,110,109.6013071895
138,BIKE,90751,89.7694974003,87.5156537753
139,BIKE,118452,98.7113821138,85.5232198142
140,BIKE,27192,107.0403225806,90.2348993289
141,BUS,228424,99.3088709677,114.4503518374
142,BIKE,10733,99.6923076923,69.7142857143
143,BIKE,101014,91.8567567568,68.5298245614
144,BIKE,27070,85.15,82.4426229508
145,BUS,223277,158.9381879763,182.5715658021
146,BIKE,81618,105.1692307692,95.6198501873
147,BIKE,65072,95.7672955975,102.3595890411
148,BIKE,15772,57.1111111111,58.8333333333
149,CAR,84691,82.9749216301,135.1695760599
150,CAR,79778,98.9433962264,160.9878934625
151,CAR,18556,56.5,95.9230769231
152,CAR,24755,93.8985507246,130.8611111111
153,BIKE,32199,121.2,104.722513089
154,BIKE,40359,154.2388888889,106.5941422594
155,BIKE,43204,92.6363636364,86.6287878788
156,BIKE,28094,98.5238095238,77.609929078
157,BIKE,40347,140.4223602484,107.1637168142
158,CAR,109538,124.4859649123,171.4407582938
159,BIKE,101414,79.15,72.6967741935
160,CAR,17199,51,100.2
161,BIKE,74170,94.1896551724,73.2993630573
162,CAR,127877,121.5699558174,180.9940740741
163,BIKE,20732,94.8348623853,96.1495327103
164,BIKE,8433,87.1020408163,60.696969697
165,CAR,81090,100.7567567568,168.4
166,BUS,177868,81.4505208333,97.7273838631
167,CAR,99747,74.0348101266,175.9710144928
168,CAR,60103,149.8892733564,201.0755395683
169,BIKE,28291,89.6901408451,77.9703703704
170,CAR,19911,56.9333333333,98.75
171,BUS,221330,101.3662587413,111.11953125
172,BIKE,65337,89.3333333333,81.3966480447
173,BIKE,75676,105.5630769231,106.7096774194
174,BUS,210029,123.8635329795,142.5919790759
175,BIKE,41918,68.1608391608,80.0506329114
176,BIKE,106309,130.6865942029,96.7632776935
177,BIKE,129348,79.8837209302,76.1616541353
178,CAR,47963,66.546875,109.9794520548
179,BIKE,15494,59.7894736842,63.25
180,CAR,118310,163.4633333333,230.3814229249
181,BIKE,24189,101.2727272727,84.5850340136
182,CAR,82237,173.327077748,229.5278592375
183,BIKE,16712,81.58,71.2857142857
184,BIKE,14076,59.3,51
185,CAR,88542,132.8024948025,217.5926966292
186,BIKE,13507,79.7391304348,64.2931034483
187,BIKE,99734,79.1989247312,65.2647058824
188,BIKE,51780,68.1722488038,72.4699453552
189,BIKE,14456,80.5849056604,69.15
190,BIKE,44646,107.5568627451,77.4462025316
191,BIKE,9131,73.7906976744,62.2592592593
192,BIKE,97202,103.6974358974,89.5737951807
193,BIKE,14326,75.2,74.4565217391
194,BIKE,75228,98.3333333333,93.6353887399
195,BIKE,46225,100.2435897436,104.7731481481
196,BIKE,31666,121.1029411765,85.8058252427
197,CAR,40204,84.2827868852,150.8028169014
198,BUS,189676,90.5813253012,105.2097966728
199,BUS,162152,84.8122503329,99.1179302046
200,BIKE,8564,73.2195121951,67.0833333333
201,BIKE,59072,111.6394849785,96.2867924528
202,CAR,63341,75.1712062257,133.3401360544
203,BIKE,18360,84.7093023256,68.7222222222
204,BIKE,22447,57.0666666667,65.8
205,BIKE,56014,101.6783625731,89.8310991957
206,BIKE,19409,112.375,95.3813559322
207,BUS,169939,86.7749391727,104.2423529412
208,CAR,110169,158.0805604203,233.307860262
209,BUS,192521,119.0646687697,144.1811100292
210,BIKE,65164,137.8363636364,97.234375
211,CAR,22743,91.171875,127.3939393939
212,BIKE,55233,108.2079510703,113.9220338983
213,BIKE,33652,104.1875,101.5866666667
214,BUS,237166,162.2397754611,190.64784689
215,BIKE,181260,98.5827922078,86.1568322981
216,CAR,73350,98.6741214058,122.8100558659
217,BUS,159044,82.8531684699,96.8050955414
218,BIKE,43619,113.3448275862,91.0507614213
